name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N2C3W1_E,GA,42,8,34,8,40,-2
N2C3W1_F,GA,43,9,35,8,41,-2
N2C3W1_G,GA,40,8,33,7,39,-1
N2C3W1_H,GA,45,9,35,10,41,-4
N2C3W1_I,GA,41,9,34,7,40,-1
N2C3W1_J,GA,42,10,33,9,39,-3
N2C3W1_K,GA,45,10,36,9,43,-2
N2C3W1_L,GA,45,7,35,10,41,-4
N2C3W1_M,GA,36,9,31,5,37,1
N2C3W1_N,GA,40,9,32,8,38,-2
N2C3W1_O,GA,43,9,35,8,41,-2
N2C3W1_P,GA,44,10,35,9,41,-3
N2C3W1_Q,GA,40,7,34,6,40,0
N2C3W1_R,GA,42,10,33,9,39,-3
N2C3W1_S,GA,44,7,36,8,43,-1
N2C3W1_T,GA,45,10,35,10,41,-4
N2C3W2_A,GA,53,7,41,12,49,-4
N2C3W2_B,GA,56,8,43,13,51,-5
N2C3W2_C,GA,52,10,41,11,49,-3
N2C3W2_D,GA,53,8,41,12,49,-4
N2C3W2_E,GA,49,10,39,10,46,-3
N2C3W2_F,GA,48,10,39,9,46,-2
N2C3W2_G,GA,52,10,41,11,49,-3
N2C3W2_H,GA,46,7,38,8,45,-1
N2C3W2_I,GA,59,9,44,15,52,-7
N2C3W2_J,GA,58,8,43,15,51,-7
N2C3W2_K,GA,56,10,42,14,50,-6
N2C3W2_L,GA,51,10,41,10,49,-2
N2C3W2_M,GA,55,10,43,12,51,-4
N2C3W2_N,GA,52,10,41,11,49,-3
N2C3W2_O,GA,57,10,45,12,53,-4
N2C3W2_P,GA,53,8,41,12,49,-4
N2C3W2_Q,GA,51,7,41,10,49,-2
N2C3W2_R,GA,51,7,40,11,47,-4
N2C3W2_S,GA,56,8,43,13,51,-5
N2C3W2_T,GA,52,8,43,9,51,-1
N2C3W4_A,GA,56,11,43,13,51,-5
N2C3W4_B,GA,57,10,45,12,53,-4
N2C3W4_C,GA,52,9,42,10,50,-2
N2C3W4_D,GA,56,11,44,12,52,-4
N2C3W4_E,GA,60,12,47,13,56,-4
N2C3W4_F,GA,60,11,45,15,53,-7
N2C3W4_G,GA,55,11,44,11,52,-3
N2C3W4_H,GA,53,11,44,9,52,-1
N2C3W4_I,GA,56,10,44,12,52,-4
N2C3W4_J,GA,54,10,43,11,51,-3
N2C3W4_K,GA,59,11,47,12,56,-3
N2C3W4_L,GA,57,11,45,12,53,-4
N2C3W4_M,GA,56,11,44,12,52,-4
N2C3W4_N,GA,60,11,45,15,53,-7
N2C3W4_O,GA,57,10,45,12,53,-4
N2C3W4_P,GA,58,10,45,13,53,-5
N2C3W4_Q,GA,58,10,46,12,54,-4
N2C3W4_R,GA,53,10,42,11,50,-3
N2C3W4_S,GA,52,10,42,10,50,-2
N2C3W4_T,GA,58,10,46,12,54,-4
N3C1W1_A,GA,133,26,105,28,124,-9
N3C1W1_B,GA,142,25,114,28,135,-7
N3C1W1_C,GA,123,25,99,24,117,-6
N3C1W1_D,GA,133,27,108,25,128,-5
N3C1W1_E,GA,124,21,98,26,116,-8
N3C1W1_F,GA,137,26,113,24,134,-3
N3C1W1_G,GA,137,24,111,26,131,-6
N3C1W1_H,GA,134,22,104,30,123,-11
N3C1W1_I,GA,132,21,100,32,118,-14
N3C1W1_J,GA,140,22,108,32,128,-12
N3C1W1_K,GA,128,26,102,26,121,-7
N3C1W1_L,GA,122,24,97,25,115,-7
N3C1W1_M,GA,138,21,106,32,125,-13
N3C1W1_N,GA,121,22,93,28,110,-11
N3C1W1_O,GA,125,20,98,27,116,-9
N3C1W1_P,GA,138,27,108,30,128,-10
N3C1W1_Q,GA,129,24,98,31,116,-13
N3C1W1_R,GA,125,25,99,26,117,-8
N3C1W1_S,GA,129,20,100,29,118,-11
N3C1W1_T,GA,128,26,102,26,121,-7
N3C1W2_A,GA,160,25,125,35,148,-12
N3C1W2_B,GA,153,25,126,27,149,-4
N3C1W2_C,GA,157,29,125,32,148,-9
N3C1W2_D,GA,167,30,139,28,164,-3
N3C1W2_E,GA,161,31,132,29,156,-5
N3C1W2_F,GA,153,29,123,30,146,-7
N3C1W2_G,GA,165,29,132,33,156,-9
N3C1W2_H,GA,160,24,129,31,153,-7
N3C1W2_I,GA,155,23,126,29,149,-6
N3C1W2_J,GA,158,23,126,32,149,-9
N3C1W2_K,GA,150,23,120,30,142,-8
N3C1W2_L,GA,169,24,136,33,161,-8
N3C1W2_M,GA,163,24,136,27,161,-2
N3C1W2_N,GA,164,24,136,28,161,-3
N3C1W2_O,GA,155,28,127,28,150,-5
N3C1W2_P,GA,157,29,126,31,149,-8
N3C1W2_Q,GA,164,24,135,29,160,-4
N3C1W2_R,GA,155,23,123,32,146,-9
N3C1W2_S,GA,160,24,130,30,154,-6
N3C1W2_T,GA,167,24,136,31,161,-6
N3C1W4_A,GA,176,25,149,27,176,0
N3C1W4_B,GA,174,30,149,25,176,2
N3C1W4_C,GA,172,24,146,26,173,1
N3C1W4_D,GA,176,31,148,28,175,-1
N3C1W4_E,GA,174,30,142,32,168,-6
N3C1W4_F,GA,173,25,140,33,166,-7
N3C1W4_G,GA,175,25,148,27,175,0
N3C1W4_H,GA,167,24,141,26,167,0
N3C1W4_I,GA,166,29,140,26,166,0
N3C1W4_J,GA,171,24,142,29,168,-3
N3C1W4_K,GA,173,30,147,26,174,1
N3C1W4_L,GA,174,29,148,26,175,1
